#,Title,JPja,USen
1,"""0000""",はい どうぞ,Sure.
2,"""0001""",ごめんなさい…,They're not for sale.
3,Near_00,いないかなぁ…,Nothin'...
4,Near_02,トカゲちゃ～ん…,"Heeeere, li'l lizards..."
5,Near_03,ふぅ…,Phew...
6,NewText_01,いやぁ熱いですねぇ…,Whew... Another scorcher.
7,NewText_02,"こんばんは…
この辺りは夜でも ほんと熱いですねぇ…
それにしてもゴロン族の皆さんは凄いですね
こんなに熱いのに鍋とは…","Good evening... It stays hot around here,
even at night.

I've got to hand it to those Gorons.
Eating hot soup in this heat..."
8,NewText_04,あっ どうも,"Ah, hey."
9,NewText_05,ヒケシトカゲ また捕まえました？,"Have you caught any more
fireproof lizards?"
10,NewText_06,"ヒケシトカゲを1… 2…3匹……！

持ってきてくれたのですね！

それでは私が3匹を20ルピーで買い取ります
売ってくれますか…？","...One...two...three fireproof lizards.
Very nice.

I'll buy these three for 20 rupees.
Do we have a deal?"
11,NewText_07,"ヒケシトカゲ
3匹捕まえたら持って来て下さいね","If you manage to catch three
fireproof lizards, bring 'em on by."
12,NewText_08,"ありがとうございます…！
それでは これをどうぞ…","Thank you!
And here you go..."
13,NewText_09,"えぇ…""譲ってくれないんですか…
残念…
もし気が変わったら譲って下さいね","You don't want to sell them to me?
That's too bad...

If you change your mind, come on back."
14,NewText_10,"もしまたヒケシトカゲを捕まえてきてくれたら
3匹を20ルピーで買い取りましょう！
土産は多い方がいいですし…

ヒケシトカゲと魔物の素材があれば
燃えず薬が作れますしね！","I'll pay you 20 rupees for every three
fireproof lizards you bring me.
You can never have too many.
If you mix fireproof lizards with
monster parts, you can make
fireproof elixir!"
15,NewText_11,"ヒケシトカゲを3匹捕まえてきてくれたら
20ルピーで買い取りますよ","I'll pay you 20 rupees for every three
fireproof lizards you bring me.
You can never have too many."
