#,Title,JPja,USen
1,"""0000""",なんですか？,Me?
2,"""0001""",…,...
3,"""0002""",いいよ,OK...
4,"""0003""",ことわる！,I refuse!
5,"""0004""",そうだよ,"Yes, it is."
6,"""0005""",ちがうよ,"No, it's not."
7,"""0006""",おまえは？！,You!
8,"""0007""",どなた？,Nope.
9,Henshin00,お命 ちょうだい しますぅぅぅ！,Nooow...you must DIIIIE!
10,Henshin01,コーガ様の仇ですぅぅぅ！,"Begone, enemy of my maaaaster!"
11,Near00,ちょっとぉぉぉ！,Waaait uuup!
12,Talk00,そこのキミぃぃぃ！,Heeeey! You there!
13,Talk01,そうぅぅぅ！ キミだよ キミぃぃぃ！,"Yeaaaah, you! I'm talkin' to YOU!"
14,Talk02,"ちょっとぉぉぉ！
無視しないでくれますぅぅぅ？",Hey there...friend.
15,Talk03,"私ぃぃぃ怪しいものじゃないんですがぁぁぁ
お話ぃぃぃ よろしいですかぁぁぁ？","Come oooon, I'm not some creeper!
I just wanna taaaalk, my frieeend!
Whaddaya say?"
16,Talk04,"ありがとうございますぅぅぅ！
ではぁぁぁ改めましてぇぇぇ…
その腰に ぶら下げてるものってぇぇぇ…
シーカーストーン ですかぁぁぁ？","Oh, jooooy! Thaaaank you!
Now then, let me start oooover...

That thiiiing hanging on your hip...
Is thaaaaat...a Sheikah Slate?"
17,Talk05,"あれぇぇぇ どうして断るんですぅぅぅ？
キミぃぃぃ怪しいなぁぁぁ…
その腰に ぶら下げてるものってぇぇぇ…
シーカーストーン ですよねぇぇぇ？","Whaaaat?! Why would you refuuuse?
See, you're the reeeeeal creeper
heeeeere...
Now...that thiiiing hanging on your hip...
Is thaaaaat...a Sheikah Slate?"
18,Talk06,"やっぱりぃぃぃ そうだったんですねぇぇぇ！
それじゃぁぁぁ…","Seeee! I kneeeew it!
Well then!"
19,Talk07,"へぇぇぇ…違うと おっしゃいますかぁぁぁ…
とは言えぇぇぇ…","Whaaaa—?! You say it's noooot, but...
Even stiiiiill..."
20,Talk08,"お久しぶりで ございますぅぅぅ

私のことぉぉぉ覚えていますかぁぁぁ？","Long tiiiime no see, riiiiight?
Don't you remember meee?"
21,Talk09,さすがぁぁぁ勇者さんですぅぅぅ…,"Oooh, now that's what I'd expeeect...
from the hero..."
22,Talk10,"えぇぇぇ…覚えていませんかぁぁぁ…
勇者さんとも あろうものがぁぁぁ…","Whaaa?! You don't remember meeee?
That's not what I expected froooom...
the hero."
23,TerrorArrow,キミ キミぃぃぃ！,"Yooou! Hey, yooou!"
24,TerrorSword,キミ キミぃぃぃ！,"Yooou! Hey, yooou!"
