#,Title,JPja,USen
1,"""0000""",怪しい商人見なかった？,Any shifty merchants?
2,"""0001""",さよなら,Good-bye.
3,Npc_SmallOasis007_F_001,"砂嵐の中に隠された古代人が残したお宝…

ロマンがあるよナァ…

ロマンしかないよナァ…

でも あの砂嵐
一日に数時間だけ止むって聞いたんだけど
全然止まないんだよナァ…

寝てるとき以外
ずっと見てるのにナァ…","A treasure hidden inside a sandstorm by
an ancient civilization...
The makings of a fine adventure for sure.
They say the sandstorm lets up for a few
hours each day, but I haven't seen it
settle down for even an instant.
I've had my eyes glued to it all this time.
Except for when I've fallen asleep..."
4,Npc_SmallOasis007_F_002,"明日こそは砂嵐が晴れたとこを見るんダァ…
ムニャムニャ…","Tomorrow will be the day I see this sandstorm swirl
to a halt... I just know it!"
5,Npc_SmallOasis007_F_003,"怪しい商人？
残念だけど知らないナァ
ボクが興味あるのは
あの砂嵐とお宝だけだからナァ…","Shifty merchants? Sorry, no idea
what you're talking about.

The only things I'm interested in right
now are this sandstorm and the treasure
hiding inside its...storming...sands..."
6,Npc_SmallOasis007_F_004,"砂嵐の中に隠された古代人が残したお宝…

ロマンがあるよナァ…

ロマンしかないよナァ…

でも あの砂嵐
一日に数時間だけ止むって聞いたんだけど
全然止まないんだよナァ…","A treasure hidden inside a sandstorm by
an ancient civilization...

Sounds like an adventure just waiting
to happen.

They say the sandstorm lets up for a few
hours each day, but I haven't seen it
settle down for even an instant."
7,Npc_SmallOasis007_F_005,"寝てるとき以外
ずっと見てるのにナァ…","I haven't taken my eyes off this
sandstorm for days. Except for when
I've fallen asleep..."
8,Npc_SmallOasis007_F_006,"それで… キミ…
誰だっけ？","And that brings me to my next point!
...Who are you?"
9,Npc_SmallOasis007_F_007,"ってか…何度も言うけど…
キミ誰よ？
","OK, OK, I know I keep asking you this,
but... Who are you?"
10,Npc_SmallOasis007_F_008,…で キミ…誰よ？,"Wait, who did you say you are again?"
11,Npc_SmallOasis007_F_010,"まぁ これは男のロマンなんだ
女の子にはわからないだろうけどね","An adventure like this has been a lifelong
dream! You could never understand!"
12,Npc_SmallOasis007_F_011,"気が散るから
邪魔しないでくれるかな",Not now! You'll distract me!
13,Npc_SmallOasis007_F_012,"…ん？アレ？？
もしかして砂嵐止んでる？！
ずっと見てたのにナァ…
なんで消えたんだろうナァ…ロマンだナァ…","Huh? Did it...
Did the sandstorm stop?!

After all this time watching it...
Why did it just disappear like that?
What a mystery!"
14,Npc_SmallOasis007_R_001,"あの砂嵐…一日に数時間だけ
消える時があるらしいんだけどサァ…
全然消えないんだよナァ…","That sandstorm... They say it stops for
a few hours a day, but it hasn't let up
even a little since I've been watching."
15,Npc_SmallOasis007_R_002,"明日こそは砂嵐が晴れたとこを見るんダァ…
ムニャムニャ…","Tomorrow will be the day I see this sandstorm swirl
to a halt... I just know it!"
16,Npc_SmallOasis007_R_005,"あの砂嵐の奥に
古代人が残したお宝があるっていうからサァ…
砂嵐が止まったら探しにいこうと思って
ずっと見てるんだけどサァ…
もしかして ガセネタなのかナァ…","Rumor has it an ancient civilization hid a
treasure inside that sandstorm.

I've been here for days waiting for the
storm to settle down so I can nab it!
I just hope it wasn't a bad lead..."
