#,Title,JPja,USen
1,"""0000""",教えて！,Tell me!
2,"""0001""",さよなら,Good-bye.
3,Npc_oasis012_001,"ごめんよ今は訳あって
ゲルド宝飾店は準備中なんだ
ナボリスってのが出てきて外は危険だし
宮殿も泥棒騒ぎで大変だし その上店も…
そんなこんなで この街は
最近トラブル続きなんだ… まいったよ","I'm sorry, but the Gerudo Jewelers isn't
open right now...

With that beast causing a ruckus and
the guards in an uproar over some kind
of theft, things have been pretty crazy.
And on top of it all, my shop...


The village is facing quite a few
problems lately. *sigh*"
4,Npc_oasis012_002,"お嬢ちゃんが火打ち石を
持ってきてくれたんだってね
いや～助かったよ

お礼に オーナーの秘密教えてあげようか？","I heard you brought some flint for us,
little vai.

You're a lifesaver!


How about...I tell you one of the owner's secrets
as my way of saying sarqso?"
5,Npc_oasis012_004,"オーナーはさ…

寝る時に身に着けるものはアクセサリー
だけなんだって
お腹冷えないのかな…","I heard the owner...
sleeps wearing nothing...
but accessories...
I wonder if she gets cold..."
6,Npc_oasis012_005,"オーナーの名前って実は偽名でさ
実は ジュエルって名前なんだ
宝飾屋でジュエルなんて
あからさますぎて恥ずかしいんだってさ
私は良い名前だと思うけどね…","The owner's name is actually an alias. Her real
name is Jewel.

It's a little too coincidental for a jeweler to be
named Jewel, so she was embarrassed.

I think it's a fine name, personally..."
7,Npc_oasis012_006,"オーナーって何もしてないって言ってるけど
週1 アローマさんのエステに通ってるんだ
「何もしてない」なんて言ってる美人ほど
信用できないものはないよね","The owner claims that she's not doing anything
special with her looks, but she actually visits
Hotel Oasis once a week.
It's always good to remember... If someone says
they don't do anything at all to maintain their
looks, it's probably not quite true."
8,Npc_oasis012_007,"恋愛教室のワーシャ先生と
ヴォーイを取り合った過去があるんだって
まぁ どっちもまだ独身だから
どっちも ダメだったんだろうね…","Apparently she and the teacher of the relationship
class, Ashai, were embroiled in a tragic love
triangle...
They're both still single, so I guess we know how
that went..."
9,Npc_oasis012_008,"お嬢ちゃんはこの店の恩人だ

アンタの注文なら いつもより
気合入れて作るから
気に入ったアクセサリーがあったら
遠慮なく手に取って見てってよ","This shop owes you everything, young
vai. Your requests fill us with a greater
sense of purpose than normal!
If you see an accessory you like, please
feel free to pick it up and look at it."
10,Npc_oasis012_009,"ごめんよ今は訳あって
ゲルド宝飾店は準備中なんだ
兜泥棒の騒ぎはおさまったとはいえ
ナボリスってのが出てきて外は危険だし
その上店も…

そんなこんなで この街は
最近トラブル続きなんだ… まいったよ","I'm sorry, but the Gerudo Jewelers isn't
open right now...

The big theft seems to have been solved,
but Naboris is out there causing a
ruckus, so it's dangerous to travel.
And on top of it all, my shop...


The village is facing quite a few
problems lately. *sigh*"
11,Npc_oasis012_010,ヴァーサーク,Vasaaq.
12,Npc_oasis012_011,"ごめんよ今は訳あって
ゲルド宝飾店は準備中なんだ
兜泥棒の騒ぎもおさまったし
ナボリスってのも大人しくなったとはいえ
店がこれじゃあね…

ほんと まいったよ","I'm sorry, but the Gerudo Jewelers isn't
open right now...

Naboris has calmed down, and the whole
thing with the thieves has resolved...

But my shop...
What to do, what to do. *sigh*"
13,Npc_oasis012_Near01,まいったな…,*sigh*
